Index,Stimulus,Direction,Congruency,Emotion,IsPractice,IsCorrect,ResponseTime(s)
331,<<<<<,Left,Congruent,Negative,False,False,0.002
332,>><>>,Left,Incongruent,Negative,False,False,0.002
333,<<<<<,Left,Congruent,Negative,False,False,0.002
334,<<<<<,Left,Congruent,Negative,False,False,0.002
335,<<><<,Right,Incongruent,Negative,False,False,0.002
336,<<><<,Right,Incongruent,Neutral,False,False,0.002
337,>><>>,Left,Incongruent,Neutral,False,False,0.002
338,>>>>>,Right,Congruent,Neutral,False,False,0.002
339,<<<<<,Left,Congruent,Neutral,False,False,0.002
340,<<><<,Right,Incongruent,Neutral,False,False,0.002
341,<<><<,Right,Incongruent,Negative,False,False,0.002
342,<<<<<,Left,Congruent,Negative,False,False,0.002
343,<<><<,Right,Incongruent,Negative,False,False,0.002
344,>>>>>,Right,Congruent,Negative,False,False,0.002
345,<<<<<,Left,Congruent,Neutral,False,False,0.002
346,>><>>,Left,Incongruent,Neutral,False,False,0.002
347,>><>>,Left,Incongruent,Negative,False,False,0.002
348,<<><<,Right,Incongruent,Negative,False,False,0.002
349,<<<<<,Left,Congruent,Neutral,False,False,0.002
350,>>>>>,Right,Congruent,Neutral,False,False,0.002
351,<<><<,Right,Incongruent,Negative,False,False,0.002
352,>><>>,Left,Incongruent,Neutral,False,False,0.002
353,<<><<,Right,Incongruent,Neutral,False,False,0.002
354,>><>>,Left,Incongruent,Negative,False,False,0.002
355,>>>>>,Right,Congruent,Negative,False,False,0.002
356,>>>>>,Right,Congruent,Negative,False,False,0.002
357,<<<<<,Left,Congruent,Neutral,False,False,0.002
358,>>>>>,Right,Congruent,Neutral,False,False,0.002
359,>><>>,Left,Incongruent,Neutral,False,False,0.002
360,>>>>>,Right,Congruent,Neutral,False,False,0.002
361,>>>>>,Right,Congruent,Negative,False,False,0.002
362,>>>>>,Right,Congruent,Negative,False,False,0.002
363,<<<<<,Left,Congruent,Neutral,False,False,0.002
364,>>>>>,Right,Congruent,Neutral,False,False,0.002
365,>><>>,Left,Incongruent,Neutral,False,False,0.002
366,>><>>,Left,Incongruent,Negative,False,False,0.002
367,>>>>>,Right,Congruent,Negative,False,False,0.002
368,>><>>,Left,Incongruent,Negative,False,False,0.002
369,>><>>,Left,Incongruent,Negative,False,False,0.002
370,<<<<<,Left,Congruent,Negative,False,False,0.002
371,>>>>>,Right,Congruent,Neutral,False,False,0.002
372,>>>>>,Right,Congruent,Neutral,False,False,0.002
373,<<<<<,Left,Congruent,Neutral,False,False,0.002
374,>><>>,Left,Incongruent,Neutral,False,False,0.002
375,<<><<,Right,Incongruent,Neutral,False,False,0.002
376,<<<<<,Left,Congruent,Negative,False,False,0.002
