Index,Type,IsNegative,IsCorrect,ResponseTime(s)
200,Incongruent,False,False,0.010
201,StarsArray,False,False,0.010
202,StarsArray,False,False,0.010
203,Incongruent,False,False,0.010
204,Congruent,True,False,0.010
205,Congruent,False,False,0.010
206,StarsArray,False,False,0.010
207,StarsArray,True,False,0.010
208,StarsArray,True,False,0.010
209,StarsArray,False,False,0.010
210,StarsArray,True,False,0.010
211,Incongruent,True,False,0.010
212,StarsArray,True,False,0.010
213,StarsArray,True,False,0.010
214,Incongruent,False,False,0.010
215,StarsArray,True,False,0.010
216,StarsArray,True,False,0.010
217,Congruent,True,False,0.010
218,StarsArray,True,False,0.010
219,Incongruent,False,False,0.010
220,StarsArray,True,False,0.010
221,StarsArray,False,False,0.010
222,StarsArray,True,False,0.010
223,StarsArray,False,False,0.010
224,StarsArray,True,False,0.010
225,StarsArray,True,False,0.010
226,StarsArray,False,False,0.010
227,StarsArray,False,False,0.010
228,StarsArray,True,False,0.010
229,StarsArray,True,False,0.010
230,StarsArray,True,False,0.010
231,Congruent,False,False,0.010
232,StarsArray,True,False,0.010
233,StarsArray,True,False,0.010
234,StarsArray,False,False,0.010
235,StarsArray,True,False,0.010
236,Congruent,False,False,0.010
237,StarsArray,True,False,0.010
238,StarsArray,True,False,0.010
239,StarsArray,False,False,0.010
240,Congruent,True,False,0.010
241,StarsArray,True,False,0.010
242,StarsArray,True,False,0.010
243,Incongruent,False,False,0.010
244,Incongruent,True,False,0.010
245,StarsArray,True,False,0.010
246,StarsArray,False,False,0.010
247,StarsArray,False,False,0.010
248,StarsArray,False,False,0.010
249,StarsArray,False,False,0.010
250,StarsArray,False,False,0.010
251,StarsArray,False,False,0.010
252,StarsArray,True,False,0.010
253,StarsArray,False,False,0.010
254,StarsArray,True,False,0.010
255,Congruent,True,False,0.010
256,Congruent,False,False,0.010
257,StarsArray,True,False,0.010
258,StarsArray,False,False,0.010
259,StarsArray,True,False,0.010
260,StarsArray,False,False,0.010
261,StarsArray,False,False,0.010
262,StarsArray,False,False,0.010
263,Incongruent,True,False,0.010
264,Incongruent,False,False,0.010
265,StarsArray,True,False,0.010
266,Congruent,False,False,0.010
267,Incongruent,False,False,0.010
268,Congruent,True,False,0.010
269,Incongruent,False,False,0.010
